DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10921171,"6-Acetyl-1-hydroxy-10b-(2-methylbut-3-en-2-yl)-3-(2-methylpropyl)-3,5a,6,10b,11,11a-hexahydro-4H-pyrazino[1',2':1,5]pyrrolo[2,3-b]indol-4-one",113706-21-1,BMRZKNPRSPWNNW-UNBWHIKDSA-N,"(3S,5aR,10bR,11aS)-6-Acetyl-1-hydroxy-10b-(2-methylbut-3-en-2-yl)-3-(2-methylpropyl)-3,5a,6,10b,11,11a-hexahydro-4H-pyrazino[1',2':1,5]pyrrolo[2,3-b]indol-4-one",[H][C@@]12C[C@]3(C4=CC=CC=C4N(C(C)=O)[C@@]3([H])N1C(=O)[C@]([H])(CC(C)C)N=C2O)C(C)(C)C=C,"InChI=1S/C24H31N3O3/c1-7-23(5,6)24-13-19-20(29)25-17(12-14(2)3)21(30)27(19)22(24)26(15(4)28)18-11-9-8-10-16(18)24/h7-11,14,17,19,22H,1,12-13H2,2-6H3,(H,25,29)/t17-,19-,22-,24+/m0/s1",C24H31N3O3,409.53,409.236542,9,,14,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60877179,Gliotoxin,67-99-2,FIVPIPIDMRVLAY-RBJBARPLSA-N,"(3R,5aS,6S,10aR)-6-Hydroxy-3-(hydroxymethyl)-2-methyl-2,3,6,10-tetrahydro-5aH-3,10a-epidithiopyrazino[1,2-a]indole-1,4-dione",CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,"InChI=1S/C13H14N2O4S2/c1-14-10(18)12-5-7-3-2-4-8(17)9(7)15(12)11(19)13(14,6-16)21-20-12/h2-4,8-9,16-17H,5-6H2,1H3/t8-,9-,12+,13+/m0/s1",C13H14N2O4S2,326.39,326.039499,45,,74,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50200452,Terphenyllin,52452-60-5,YNEMPXKRLPZFAX-UHFFFAOYSA-N,"2~3~,2~6~-Dimethoxy[1~1~,2~1~:2~4~,3~1~-terphenyl]-1~4~,2~2~,3~4~-triol",COC1=C(C(O)=C(OC)C(=C1)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C20H18O5/c1-24-17-11-16(12-3-7-14(21)8-4-12)20(25-2)19(23)18(17)13-5-9-15(22)10-6-13/h3-11,21-23H,1-2H3",C20H18O5,338.359,338.115424,20,5,38,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70944568,"12,13-Epoxytrichothec-9-en-4-ol",2198-93-8,XSUVNTHNQMGPIL-YNBGEIFUSA-N,"(4R,12xi)-12,13-Epoxytrichothec-9-en-4-ol",[H][C@@]1(O)C[C@@]2([H])O[C@]3([H])C=C(C)CC[C@]3(C)C1(C)C21CO1,"InChI=1S/C15H22O3/c1-9-4-5-13(2)11(6-9)18-12-7-10(16)14(13,3)15(12)8-17-15/h6,10-12,16H,4-5,7-8H2,1-3H3/t10-,11-,12-,13+,14?,15?/m1/s1",C15H22O3,250.338,250.156895,10,,8,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90433626,"(5S,6R,8R)-6-Hydroxy-5-methyl-13-oxo-5,6,7,8,14,15-hexahydro-13H-5,8-epoxy-4b,8a,14-triazadibenzo[b,h]cycloocta[1,2,3,4-jkl]cyclopenta[e]-as-indacene-6-carboxylic acid",99570-78-2,AMSOPBXQXSAAAC-PLZPTFKGSA-N,"(5S,6R,8R)-6-Hydroxy-5-methyl-13-oxo-5,6,7,8,14,15-hexahydro-13H-5,8-epoxy-4b,8a,14-triazadibenzo[b,h]cycloocta[1,2,3,4-jkl]cyclopenta[e]-as-indacene-6-carboxylic acid",C[C@]12O[C@H](C[C@]1(O)C(O)=O)N1C3=CC=CC=C3C3=C4C(=O)NCC4=C4C5=CC=CC=C5N2C4=C13,"InChI=1S/C26H19N3O5/c1-25-26(33,24(31)32)10-17(34-25)28-15-8-4-2-6-12(15)19-20-14(11-27-23(20)30)18-13-7-3-5-9-16(13)29(25)22(18)21(19)28/h2-9,17,33H,10-11H2,1H3,(H,27,30)(H,31,32)/t17-,25+,26+/m1/s1",C26H19N3O5,453.454,453.132471,6,,21,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90166386,Ustiloxin D,158243-18-6,GDXLZSYACWZHOC-ZNRYNLAGSA-N,"N-[(3R,4S,7S,10S,11R)-3-Ethyl-11,15-dihydroxy-3-methyl-10-(methylamino)-6,9-dioxo-7-(propan-2-yl)-2-oxa-5,8-diazabicyclo[10.3.1]hexadeca-1(16),12,14-triene-4-carbonyl]glycine",CC[C@@]1(C)OC2=C(O)C=CC(=C2)[C@@H](O)[C@H](NC)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]1C(=O)NCC(O)=O,"InChI=1S/C23H34N4O8/c1-6-23(4)19(22(34)25-10-15(29)30)27-20(32)16(11(2)3)26-21(33)17(24-5)18(31)12-7-8-13(28)14(9-12)35-23/h7-9,11,16-19,24,28,31H,6,10H2,1-5H3,(H,25,34)(H,26,33)(H,27,32)(H,29,30)/t16-,17-,18+,19+,23+/m0/s1",C23H34N4O8,494.545,494.237664,13,14,16,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8023183,Josamycin,16846-24-5,XJSFLOJWULLJQS-HTYUZQQASA-N,"(2S,3R,4R,6S)-6-{[(2R,3S,4R,5R,6S)-6-{[(4R,6S,7R,9R,10R,11E,13E,16R)-4-(Acetyloxy)-10-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-7-(2-oxoethyl)-1-oxacyclohexadeca-11,13-dien-6-yl]oxy}-4-(dimethylamino)-5-h
ydroxy-2-methyloxan-3-yl]oxy}-4-hydroxy-2,4-dimethyloxan-3-yl 3-methylbutanoate (non-preferred name)",COC1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O,"InChI=1S/C42H69NO15/c1-23(2)19-32(47)56-40-27(6)53-34(22-42(40,8)50)57-37-26(5)54-41(36(49)35(37)43(9)10)58-38-29(17-18-44)20-24(3)30(46)16-14-12-13-15-25(4)52-33(48)21-31(39(38)51-11)55-28(7)45/h12-14,16,18,23-27,29-31,34-41,46,49-50H,15,17,19-22H2,1-11H3/b13-12+,16-14+/t24-,25-,26-,27+,29+,30+,31-,34+,35-,36-,37-,38+,39?,40-,41+,42-/m1/s1",C42H69NO15,828.006,827.466721,93,222,15,,2,3/79,4.0,79
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20891795,AAL toxin TB,149849-90-1,CTXQVLLVFBNZKL-YVEDVMJTSA-N,"2-(2-{[(3R,4R,5S,7S,14R,16S)-17-Amino-4,14,16-trihydroxy-3,7-dimethylheptadecan-5-yl]oxy}-2-oxoethyl)butanedioic acid",CC[C@@H](C)[C@@H](O)[C@H](C[C@@H](C)CCCCCC[C@@H](O)C[C@H](O)CN)OC(=O)CC(CC(O)=O)C(O)=O,"InChI=1S/C25H47NO9/c1-4-17(3)24(32)21(35-23(31)13-18(25(33)34)12-22(29)30)11-16(2)9-7-5-6-8-10-19(27)14-20(28)15-26/h16-21,24,27-28,32H,4-15,26H2,1-3H3,(H,29,30)(H,33,34)/t16-,17+,18?,19+,20-,21-,24+/m0/s1",C25H47NO9,505.649,505.325082,8,,4,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70938482,Andrastin A,174232-42-9,GRBXNADBNJGZRK-GJEDHNSHSA-N,"Methyl 3beta-(acetyloxy)-4,4,8,12,16-pentamethyl-15,17,19-trioxo-5beta,8alpha,9beta,10alpha,13alpha-androst-11-ene-14-carboxylate",[H]C1(C)C(=O)[C@]2(C)C(C)=C[C@]3([H])[C@](C)(CC[C@]4([H])C(C)(C)[C@]([H])(CC[C@@]34C=O)OC(C)=O)[C@]2(C(=O)OC)C1=O,"InChI=1S/C28H38O7/c1-15-13-19-25(6,28(23(33)34-8)22(32)16(2)21(31)26(15,28)7)11-9-18-24(4,5)20(35-17(3)30)10-12-27(18,19)14-29/h13-14,16,18-20H,9-12H2,1-8H3/t16?,18-,19-,20+,25+,26+,27+,28-/m1/s1",C28H38O7,486.605,486.261754,15,,26,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50881068,Tunicamycin C,66081-37-6,YJQCOFNZVFGCAF-ACCUITESSA-N,"(2E)-N-(2-{[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-6-{2-[5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-3,4-dihydroxyoxolan-2-yl]-2-hydroxyethyl}-4,5-dihydroxyoxan-3-yl)-12-methyltride
c-2-enamide (non-preferred name)",CC(C)CCCCCCCC\C=C\C(=O)NC1C(O)C(O)C(CC(O)C2OC(C(O)C2O)N2C=CC(=O)NC2=O)OC1OC1OC(CO)C(O)C(O)C1NC(C)=O,"InChI=1S/C37H60N4O16/c1-18(2)12-10-8-6-4-5-7-9-11-13-23(45)39-26-30(50)27(47)21(54-36(26)57-35-25(38-19(3)43)29(49)28(48)22(17-42)55-35)16-20(44)33-31(51)32(52)34(56-33)41-15-14-24(46)40-37(41)53/h11,13-15,18,20-22,25-36,42,44,47-52H,4-10,12,16-17H2,1-3H3,(H,38,43)(H,39,45)(H,40,46,53)/b13-11+",C37H60N4O16,816.899,816.400432,13,,11,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40971841,"N-[10b-Hydroxy-3,6-dioxo-2,5-di(propan-2-yl)octahydro-8H-[1,3]oxazolo[3,2-a]pyrrolo[2,1-c]pyrazin-2-yl]-6-methyl-9,10-didehydroergoline-8-carboximidic acid",564-36-3,UJYGDMFEEDNVBF-UHFFFAOYSA-N,"N-[10b-Hydroxy-3,6-dioxo-2,5-di(propan-2-yl)octahydro-8H-[1,3]oxazolo[3,2-a]pyrrolo[2,1-c]pyrazin-2-yl]-6-methyl-9,10-didehydroergoline-8-carboximidic acid",CC(C)C1N2C(=O)C(OC2(O)C2CCCN2C1=O)(N=C(O)C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1)C(C)C,"InChI=1S/C31H39N5O5/c1-16(2)26-28(38)35-11-7-10-24(35)31(40)36(26)29(39)30(41-31,17(3)4)33-27(37)19-12-21-20-8-6-9-22-25(20)18(14-32-22)13-23(21)34(5)15-19/h6,8-9,12,14,16-17,19,23-24,26,32,40H,7,10-11,13,15H2,1-5H3,(H,33,37)",C31H39N5O5,561.683,561.295119,34,,21,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5036711,Aphidicolin,38966-21-1,NOFOAYPPHIUXJR-APNQCZIXSA-N,"(3R,4R,4aR,6aS,8R,9R,11aS,11bS)-4,9-Bis(hydroxymethyl)-4,11b-dimethyltetradecahydro-8,11a-methanocyclohepta[a]naphthalene-3,9-diol",C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@]21CC[C@]3(O)CO,"InChI=1S/C20H34O4/c1-17(11-21)15-4-3-13-9-14-10-19(13,7-8-20(14,24)12-22)18(15,2)6-5-16(17)23/h13-16,21-24H,3-12H2,1-2H3/t13-,14+,15-,16+,17-,18-,19-,20-/m0/s1",C20H34O4,338.488,338.245710,56,1560,105,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90891863,Enniatin A,2503-13-1,TWHBYJSVDCWICV-LIOIOPIISA-N,"(3S,6R,9S,12R,18R)-3,9,15-Tri[(2S)-butan-2-yl]-4,10,16-trimethyl-6,12,18-tri(propan-2-yl)-1,7,13-trioxa-4,10,16-triazacyclooctadecane-2,5,8,11,14,17-hexone",[H][C@@]1(OC(=O)[C@]([H])([C@@H](C)CC)N(C)C(=O)[C@H](OC(=O)C([C@@H](C)CC)N(C)C(=O)[C@H](OC(=O)[C@]([H])([C@@H](C)CC)N(C)C1=O)C(C)C)C(C)C)C(C)C,"InChI=1S/C36H63N3O9/c1-16-22(10)25-34(43)46-29(20(6)7)32(41)38(14)27(24(12)18-3)36(45)48-30(21(8)9)33(42)39(15)26(23(11)17-2)35(44)47-28(19(4)5)31(40)37(25)13/h19-30H,16-18H2,1-15H3/t22-,23-,24-,25-,26-,27?,28+,29+,30+/m0/s1",C36H63N3O9,681.912,681.456431,22,,3,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20939343,(6-Methylergolin-8-yl)methanol,18051-16-6,UFKTZIXVYHGAES-WDBKCZKBSA-N,(6-Methylergolin-8beta-yl)methanol,[H][C@]1(CO)CN(C)[C@]2([H])CC3=CNC4=CC=CC(=C34)[C@@]2([H])C1,"InChI=1S/C16H20N2O/c1-18-8-10(9-19)5-13-12-3-2-4-14-16(12)11(7-17-14)6-15(13)18/h2-4,7,10,13,15,17,19H,5-6,8-9H2,1H3/t10-,13-,15-/m1/s1",C16H20N2O,256.349,256.157563,12,,44,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020644,Fumonisin B1,116355-83-0,UVBUBMSSQKOIBE-DSLOAKGESA-N,"(2R,2'R)-2,2'-{[(5R,6R,7S,9S,11R,16R,18S,19S)-19-Amino-11,16,18-trihydroxy-5,9-dimethylicosane-6,7-diyl]bis[oxy(2-oxoethane-2,1-diyl)]}dibutanedioic acid",CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(O)=O)C(O)=O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(O)=O)C(O)=O,"InChI=1S/C34H59NO15/c1-5-6-9-20(3)32(50-31(44)17-23(34(47)48)15-29(41)42)27(49-30(43)16-22(33(45)46)14-28(39)40)13-19(2)12-24(36)10-7-8-11-25(37)18-26(38)21(4)35/h19-27,32,36-38H,5-18,35H2,1-4H3,(H,39,40)(H,41,42)(H,45,46)(H,47,48)/t19-,20+,21-,22+,23+,24+,25+,26-,27-,32+/m0/s1",C34H59NO15,721.838,721.388470,82,1253,18,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40274182,Apicidin,183506-66-3,JWOGUUIOCYMBPV-GMFLJSBRSA-N,"(3S,6S,9S,15aR)-9-[(2S)-Butan-2-yl]-6-[(1-methoxy-1H-indol-3-yl)methyl]-3-(6-oxooctyl)octahydro-2H-pyrido[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10(3H,12H)-tetrone",[H]N1[C@@H](CCCCCC(=O)CC)C(=O)N[C@@H](CC2=CN(OC)C3=CC=CC=C23)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCCC[C@]2([H])C1=O,"InChI=1S/C34H49N5O6/c1-5-22(3)30-34(44)38-19-13-12-18-29(38)33(43)35-26(16-9-7-8-14-24(40)6-2)31(41)36-27(32(42)37-30)20-23-21-39(45-4)28-17-11-10-15-25(23)28/h10-11,15,17,21-22,26-27,29-30H,5-9,12-14,16,18-20H2,1-4H3,(H,35,43)(H,36,41)(H,37,42)/t22-,26-,27-,29+,30-/m0/s1",C34H49N5O6,623.795,623.368284,26,99,29,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2042692,Radicicol,12772-57-5,WYZWZEOGROVVHK-HZDAAVBUSA-N,"(2Z,4E)-8-Chloro-9,11-dihydroxy-14-methyl-1a,14,15,15a-tetrahydro-6H-oxireno[e][2]benzoxacyclotetradecine-6,12(7H)-dione",CC1CC2OC2\C=C/C=C/C(=O)CC2=C(Cl)C(O)=CC(O)=C2C(=O)O1,"InChI=1S/C18H17ClO6/c1-9-6-15-14(25-15)5-3-2-4-10(20)7-11-16(18(23)24-9)12(21)8-13(22)17(11)19/h2-5,8-9,14-15,21-22H,6-7H2,1H3/b4-2+,5-3-",C18H17ClO6,364.78,364.071366,48,270,13,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20904475,Fumiquinazoline D,140715-86-2,POEYRUBMWIOMTB-YUGBTJNTSA-N,"(1R,2'S,3R,5R,9'aS)-1,2'-Dimethyl-1',4,5,9'a-tetrahydrospiro[1,5-(epiminomethano)[1,4]oxazepino[3,4-b]quinazoline-3,9'-imidazo[1,2-a]indole]-3',7,13(1H,2'H)-trione",[H][C@]12N[C@@H](C)C(=O)N1C1=C(C=CC=C1)[C@]21C[C@@]2([H])N3C(=O)C4=CC=CC=C4N=C3[C@](C)(NC2=O)O1,"InChI=1S/C24H21N5O4/c1-12-19(31)28-16-10-6-4-8-14(16)24(22(28)25-12)11-17-18(30)27-23(2,33-24)21-26-15-9-5-3-7-13(15)20(32)29(17)21/h3-10,12,17,22,25H,11H2,1-2H3,(H,27,30)/t12-,17+,22-,23+,24+/m0/s1",C24H21N5O4,443.463,443.159354,4,,2,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80962632,"Methyl 5,7-dichloro-4-hydroxy-6'-methoxy-6-methyl-3,4'-dioxo-3H-spiro[1-benzofuran-2,1'-cyclohexa[2,5]diene]-2'-carboxylate",427-63-4,LUBKKVGXMXTXOZ-UHFFFAOYSA-N,"Methyl 5,7-dichloro-4-hydroxy-6'-methoxy-6-methyl-3,4'-dioxo-3H-spiro[[1]benzofuran-2,1'-cyclohexa[2,5]diene]-2'-carboxylate",COC(=O)C1=CC(=O)C=C(OC)C11OC2=C(Cl)C(C)=C(Cl)C(O)=C2C1=O,"InChI=1S/C17H12Cl2O7/c1-6-11(18)13(21)10-14(12(6)19)26-17(15(10)22)8(16(23)25-3)4-7(20)5-9(17)24-2/h4-5,21H,1-3H3",C17H12Cl2O7,399.18,397.996008,13,,24,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60941985,"2-Hydroxy-3'-(3-hydroxyphenyl)-4-methylspiro[1,4-benzodiazepine-3,2'-oxiran]-5(4H)-one",20007-85-6,BDDNYDPRCCDQQJ-XPCCGILXSA-N,"(3'R)-2-Hydroxy-3'-(3-hydroxyphenyl)-4-methylspiro[[1,4]benzodiazepine-3,2'-oxiran]-5(4H)-one",[H][C@@]1(OC11N(C)C(=O)C2=CC=CC=C2N=C1O)C1=CC(O)=CC=C1,"InChI=1S/C17H14N2O4/c1-19-15(21)12-7-2-3-8-13(12)18-16(22)17(19)14(23-17)10-5-4-6-11(20)9-10/h2-9,14,20H,1H3,(H,18,22)/t14-,17?/m1/s1",C17H14N2O4,310.309,310.095357,13,,9,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00891819,Trichoverrol A,76739-71-4,QFKRKMXPKBHGGO-GWSLRQNZSA-N,"(12xi)-15-Hydroxy-12,13-epoxytrichothec-9-en-4beta-yl (2Z,4E,6S,7S)-6,7-dihydroxyocta-2,4-dienoate",[H][C@@]12C[C@@H](OC(=O)\C=C/C=C/[C@H](O)[C@H](C)O)C(C)(C11CO1)[C@@]1(CO)CCC(C)=C[C@@]1([H])O2,"InChI=1S/C23H32O7/c1-14-8-9-22(12-24)18(10-14)29-19-11-17(21(22,3)23(19)13-28-23)30-20(27)7-5-4-6-16(26)15(2)25/h4-7,10,15-19,24-26H,8-9,11-13H2,1-3H3/b6-4+,7-5-/t15-,16-,17+,18+,19+,21?,22+,23?/m0/s1",C23H32O7,420.502,420.214803,15,,1,,2, ,,
